msa-code,metro-code,metro-name,program,limit-type,median-price,limit-1-unit,limit-2-units,limit-3-units,limit-4-units,state,county-fips,state-name,county-name,county-transaction-date,limit-transaction-date,median-price-determining-limit,year-for-median-determining-limit
,,,ZZ203,S,,0679650,0870225,1051875,1307175,,,,,,20171201,,
,,,203B,S,,0294515,0377075,0455800,0566425,,,,,,20171231,,
99999,0,NON-METRO,203B,S,0101000,0294515,0377075,0455800,0566425,AK,013,ALASKA,ALEUTIANS EAST,20171201,20180101,0214000,2013
99999,0,NON-METRO,203B,H,0226000,0385250,0493200,0596150,0740850,AK,016,ALASKA,ALEUTIANS WEST,20171201,20140101,0335000,2013
11260,0,"ANCHORAGE, AK",203B,H,0343000,0396750,0507900,0613950,0763000,AK,020,ALASKA,ANCHORAGE MUNIC,20171201,20170101,0345000,2016
99999,0,NON-METRO,203B,S,0172000,0294515,0377075,0455800,0566425,AK,050,ALASKA,BETHEL CENSUS A,20171201,20180101,0208000,2015
99999,0,NON-METRO,203B,H,0194000,0313950,0401900,0485800,0603750,AK,060,ALASKA,BRISTOL BAY BOR,20171201,20160101,0273000,2015
99999,0,NON-METRO,203B,H,0197000,0297850,0381300,0460900,0572800,AK,068,ALASKA,DENALI BOROUGH,20171201,20140101,0259000,2013
99999,0,NON-METRO,203B,H,0259000,0297850,0381300,0460900,0572800,AK,070,ALASKA,DILLINGHAM CENS,20171201,20180101,0259000,2017
21820,0,"FAIRBANKS, AK",203B,S,0238000,0294515,0377075,0455800,0566425,AK,090,ALASKA,FAIRBANKS NORTH,20171201,20180101,0239000,2013
99999,0,NON-METRO,203B,S,0217000,0294515,0377075,0455800,0566425,AK,100,ALASKA,HAINES BOROUGH,20171201,20180101,0247000,2012
99999,0,NON-METRO,203B,S,0236000,0294515,0377075,0455800,0566425,AK,105,ALASKA,HOONAH-ANGOON C,20171201,20180101,0245000,2016
27940,0,"JUNEAU, AK",203B,H,0372000,0427800,0547650,0662000,0822700,AK,110,ALASKA,JUNEAU CITY AND,20171201,20180101,0372000,2017
99999,0,NON-METRO,203B,S,0210000,0294515,0377075,0455800,0566425,AK,122,ALASKA,KENAI PENINSULA,20171201,20180101,0219000,2016
28540,0,"KETCHIKAN, AK",203B,H,0294000,0338100,0432800,0523200,0650200,AK,130,ALASKA,KETCHIKAN GATEW,20171201,20180101,0294000,2017
99999,0,NON-METRO,203B,H,0332000,0381800,0488750,0590800,0734250,AK,150,ALASKA,KODIAK ISLAND B,20171201,20140101,0332000,2013
99999,0,NON-METRO,203B,S,0112000,0294515,0377075,0455800,0566425,AK,158,ALASKA,KUSILVAK CENSUS,20171201,20180101,0161000,2013
99999,0,NON-METRO,203B,S,0151000,0294515,0377075,0455800,0566425,AK,164,ALASKA,LAKE AND PENINS,20171201,20180101,0164000,2016
11260,0,"ANCHORAGE, AK",203B,H,0343000,0396750,0507900,0613950,0763000,AK,170,ALASKA,MATANUSKA-SUSIT,20171201,20170101,0345000,2016
99999,0,NON-METRO,203B,H,0340000,0391000,0500550,0605050,0751900,AK,180,ALASKA,NOME CENSUS ARE,20171201,20180101,0340000,2017
99999,0,NON-METRO,203B,H,0146000,0332350,0425450,0514300,0639150,AK,185,ALASKA,NORTH SLOPE BOR,20171201,20140101,0289000,2013
99999,0,NON-METRO,203B,S,0179000,0294515,0377075,0455800,0566425,AK,188,ALASKA,NORTHWEST ARCTI,20171201,20180101,0204000,2016
99999,0,NON-METRO,203B,H,0227000,0332350,0425450,0514300,0639150,AK,195,ALASKA,PETERSBURG CENS,20171201,20140101,0289000,2013
99999,0,NON-METRO,203B,S,0169000,0294515,0377075,0455800,0566425,AK,198,ALASKA,PRINCE OF WALES,20171201,20180101,0225000,2013
99999,0,NON-METRO,203B,H,0399000,0458850,0587400,0710050,0882400,AK,220,ALASKA,SITKA CITY AND,20171201,20180101,0399000,2017
99999,0,NON-METRO,203B,H,0336000,0415150,0531450,0642400,0798350,AK,230,ALASKA,SKAGWAY MUNICIP,20171201,20170101,0361000,2016
99999,0,NON-METRO,203B,S,0224000,0294515,0377075,0455800,0566425,AK,240,ALASKA,SOUTHEAST FAIRB,20171201,20180101,0228000,2016
99999,0,NON-METRO,203B,S,0208000,0294515,0377075,0455800,0566425,AK,261,ALASKA,VALDEZ-CORDOVA,20171201,20180101,0255000,2013
99999,0,NON-METRO,203B,H,0178000,0332350,0425450,0514300,0639150,AK,275,ALASKA,WRANGELL CITY A,20171201,20140101,0289000,2013
99999,0,NON-METRO,203B,H,0152000,0420900,0538800,0651300,0809450,AK,282,ALASKA,YAKUTAT CITY AN,20171201,20140101,0366000,2013
99999,0,NON-METRO,203B,S,0092000,0294515,0377075,0455800,0566425,AK,290,ALASKA,YUKON-KOYUKUK C,20171201,20180101,0117000,2015
33860,0,"MONTGOMERY, AL",203B,S,0145000,0294515,0377075,0455800,0566425,AL,001,ALABAMA,AUTAUGA,20171201,20180101,0172000,2011
19300,0,"DAPHNE-FAIRHOPE-FOLEY, AL",203B,S,0183000,0294515,0377075,0455800,0566425,AL,003,ALABAMA,BALDWIN,20171201,20180101,0195000,2008
21640,0,"EUFAULA, AL-GA",203B,S,0097000,0294515,0377075,0455800,0566425,AL,005,ALABAMA,BARBOUR,20171201,20180101,0126000,2010
13820,0,"BIRMINGHAM-HOOVER, AL",203B,S,0190000,0294515,0377075,0455800,0566425,AL,007,ALABAMA,BIBB,20171201,20180101,0190000,2017
13820,0,"BIRMINGHAM-HOOVER, AL",203B,S,0190000,0294515,0377075,0455800,0566425,AL,009,ALABAMA,BLOUNT,20171201,20180101,0190000,2017
99999,0,NON-METRO,203B,S,0072000,0294515,0377075,0455800,0566425,AL,011,ALABAMA,BULLOCK,20171201,20180101,0076000,2010
99999,0,NON-METRO,203B,S,0099000,0294515,0377075,0455800,0566425,AL,013,ALABAMA,BUTLER,20171201,20180101,0099000,2017
11500,0,"ANNISTON-OXFORD-JACKSONVILLE, AL",203B,S,0117000,0294515,0377075,0455800,0566425,AL,015,ALABAMA,CALHOUN,20171201,20180101,0117000,2017
46740,0,"VALLEY, AL",203B,S,0050000,0294515,0377075,0455800,0566425,AL,017,ALABAMA,CHAMBERS,20171201,20180101,0098000,2010
99999,0,NON-METRO,203B,S,0103000,0294515,0377075,0455800,0566425,AL,019,ALABAMA,CHEROKEE,20171201,20180101,0109000,2010
13820,0,"BIRMINGHAM-HOOVER, AL",203B,S,0190000,0294515,0377075,0455800,0566425,AL,021,ALABAMA,CHILTON,20171201,20180101,0190000,2017
99999,0,NON-METRO,203B,S,0064000,0294515,0377075,0455800,0566425,AL,023,ALABAMA,CHOCTAW,20171201,20180101,0084000,2010
99999,0,NON-METRO,203B,S,0091000,0294515,0377075,0455800,0566425,AL,025,ALABAMA,CLARKE,20171201,20180101,0113000,2010
99999,0,NON-METRO,203B,S,0073000,0294515,0377075,0455800,0566425,AL,027,ALABAMA,CLAY,20171201,20180101,0087000,2010
99999,0,NON-METRO,203B,S,0113000,0294515,0377075,0455800,0566425,AL,029,ALABAMA,CLEBURNE,20171201,20180101,0113000,2017
21460,0,"ENTERPRISE, AL",203B,S,0110000,0294515,0377075,0455800,0566425,AL,031,ALABAMA,COFFEE,20171201,20180101,0136000,2014
22520,0,"FLORENCE-MUSCLE SHOALS, AL",203B,S,0148000,0294515,0377075,0455800,0566425,AL,033,ALABAMA,COLBERT,20171201,20180101,0154000,2015
