State,State FIPS,County FIPS,Complete FIPS,County Name,GSE limit,FHA limit,VA limit
AK,02,013,02013,Aleutians East Borough,1209750,524225,1209750
AK,02,016,02016,Aleutians West Census Area,1209750,585350,1209750
AK,02,020,02020,Anchorage Municipality,1209750,524225,1209750
AK,02,050,02050,Bethel Census Area,1209750,524225,1209750
AK,02,060,02060,Bristol Bay Borough,1209750,524225,1209750
AK,02,063,02063,Chugach Census Area,1209750,524225,1209750
AK,02,066,02066,Copper River Census Area,1209750,524225,1209750
AK,02,068,02068,Denali Borough,1209750,524225,1209750
AK,02,070,02070,Dillingham Census Area,1209750,524225,1209750
AK,02,090,02090,Fairbanks North Star Borough,1209750,524225,1209750
AK,02,100,02100,Haines Borough,1209750,524225,1209750
AK,02,105,02105,Hoonah-Angoon Census Area,1209750,524400,1209750
AK,02,110,02110,Juneau City and Borough,1209750,553150,1209750
AK,02,122,02122,Kenai Peninsula Borough,1209750,524225,1209750
AK,02,130,02130,Ketchikan Gateway Borough,1209750,524225,1209750
AK,02,150,02150,Kodiak Island Borough,1209750,541650,1209750
AK,02,158,02158,Kusilvak Census Area,1209750,524225,1209750
AK,02,164,02164,Lake and Peninsula Borough,1209750,524225,1209750
AK,02,170,02170,Matanuska-Susitna Borough,1209750,524225,1209750
AK,02,180,02180,Nome Census Area,1209750,524225,1209750
AK,02,185,02185,North Slope Borough,1209750,524225,1209750
AK,02,188,02188,Northwest Arctic Borough,1209750,524225,1209750
AK,02,195,02195,Petersburg Census Area,1209750,524225,1209750
AK,02,198,02198,Prince of Wales-Hyder Census Area,1209750,524225,1209750
AK,02,220,02220,Sitka City and Borough,1209750,586500,1209750
AK,02,230,02230,Skagway Municipality,1209750,524400,1209750
AK,02,240,02240,Southeast Fairbanks Census Area,1209750,524225,1209750
AK,02,275,02275,Wrangell City and Borough,1209750,524225,1209750
AK,02,282,02282,Yakutat City and Borough,1209750,524225,1209750
AK,02,290,02290,Yukon-Koyukuk Census Area,1209750,524225,1209750
AL,01,001,01001,Autauga County,806500,524225,806500
AL,01,003,01003,Baldwin County,806500,524225,806500
AL,01,005,01005,Barbour County,806500,524225,806500
AL,01,007,01007,Bibb County,806500,524225,806500
AL,01,009,01009,Blount County,806500,524225,806500
AL,01,011,01011,Bullock County,806500,524225,806500
AL,01,013,01013,Butler County,806500,524225,806500
AL,01,015,01015,Calhoun County,806500,524225,806500
AL,01,017,01017,Chambers County,806500,524225,806500
AL,01,019,01019,Cherokee County,806500,524225,806500
AL,01,021,01021,Chilton County,806500,524225,806500
AL,01,023,01023,Choctaw County,806500,524225,806500
AL,01,025,01025,Clarke County,806500,524225,806500
AL,01,027,01027,Clay County,806500,524225,806500
AL,01,029,01029,Cleburne County,806500,524225,806500
AL,01,031,01031,Coffee County,806500,524225,806500
AL,01,033,01033,Colbert County,806500,524225,806500
AL,01,035,01035,Conecuh County,806500,524225,806500
AL,01,037,01037,Coosa County,806500,524225,806500
AL,01,039,01039,Covington County,806500,524225,806500
AL,01,041,01041,Crenshaw County,806500,524225,806500
AL,01,043,01043,Cullman County,806500,524225,806500
AL,01,045,01045,Dale County,806500,524225,806500
AL,01,047,01047,Dallas County,806500,524225,806500
AL,01,049,01049,DeKalb County,806500,524225,806500
AL,01,051,01051,Elmore County,806500,524225,806500
AL,01,053,01053,Escambia County,806500,524225,806500
AL,01,055,01055,Etowah County,806500,524225,806500
AL,01,057,01057,Fayette County,806500,524225,806500
