msa-code,metro-code,metro-name,program,limit-type,median-price,limit-1-unit,limit-2-units,limit-3-units,limit-4-units,state,county-fips,state-name,county-name,county-transaction-date,limit-transaction-date,median-price-determining-limit,year-for-median-determining-limit
,,,ZZ203,S,,0822375,1053000,1272750,1581750,,,,,,20201120,,
,,,203B,S,,0356362,0456275,0551500,0685400,,,,,,20210101,,
99999,00000,NON-METRO,203B,S,0136000,0356362,0456275,0551500,0685400,AK,013,ALASKA,ALEUTIANS EAST,20200101,20210101,0214000,2013
99999,00000,NON-METRO,203B,H,0474000,0545100,0697800,0843500,1048300,AK,016,ALASKA,ALEUTIANS WEST,20140101,20210101,0474000,2020
11260,00000,"ANCHORAGE, AK",203B,H,0363000,0417450,0534400,0645950,0802800,AK,020,ALASKA,ANCHORAGE MUNIC,20200101,20210101,0363000,2020
99999,00000,NON-METRO,203B,S,0122000,0356362,0456275,0551500,0685400,AK,050,ALASKA,BETHEL CENSUS A,20200101,20210101,0208000,2015
99999,00000,NON-METRO,203B,S,0298000,0356362,0456275,0551500,0685400,AK,060,ALASKA,BRISTOL BAY BOR,20200101,20210101,0298000,2020
99999,00000,NON-METRO,203B,S,0225000,0356362,0456275,0551500,0685400,AK,068,ALASKA,DENALI BOROUGH,20200101,20210101,0259000,2013
99999,00000,NON-METRO,203B,S,0203000,0356362,0456275,0551500,0685400,AK,070,ALASKA,DILLINGHAM CENS,20200101,20210101,0259000,2017
21820,00000,"FAIRBANKS, AK",203B,S,0270000,0356362,0456275,0551500,0685400,AK,090,ALASKA,FAIRBANKS NORTH,20200101,20210101,0270000,2020
99999,00000,NON-METRO,203B,S,0250000,0356362,0456275,0551500,0685400,AK,100,ALASKA,HAINES BOROUGH,20200101,20210101,0256000,2018
99999,00000,NON-METRO,203B,S,0253000,0356362,0456275,0551500,0685400,AK,105,ALASKA,HOONAH-ANGOON C,20200101,20210101,0253000,2019
27940,00000,"JUNEAU, AK",203B,H,0420000,0483000,0618300,0747400,0928850,AK,110,ALASKA,JUNEAU CITY AND,20200101,20210101,0420000,2020
99999,00000,NON-METRO,203B,S,0240000,0356362,0456275,0551500,0685400,AK,122,ALASKA,KENAI PENINSULA,20200101,20210101,0240000,2020
28540,00000,"KETCHIKAN, AK",203B,H,0354000,0407100,0521150,0629950,0782900,AK,130,ALASKA,KETCHIKAN GATEW,20200101,20210101,0354000,2020
