msa-code,metro-code,metro-name,program,limit-type,median-price,limit-1-unit,limit-2-units,limit-3-units,limit-4-units,state,county-fips,state-name,county-name,county-transaction-date,limit-transaction-date,median-price-determining-limit,year-for-median-determining-limit
,,,ZZGSE,S,,0636150,0814500,0984525,1223475,,,,,,20161129,,
,,,GSE,S,,0424100,0543000,0656350,0815650,,,,,,20161129,,
99999,00000,NON-METRO,GSE,H,0137000,0636150,0814500,0984525,1223475,AK,013,ALASKA,ALEUTIANS EAST,20161129,20170101,0214000,2013
99999,00000,NON-METRO,GSE,H,0239000,0636150,0814500,0984525,1223475,AK,016,ALASKA,ALEUTIANS WEST,20161129,20170101,0335000,2013
11260,00000,"ANCHORAGE, AK",GSE,H,0345000,0636150,0814500,0984525,1223475,AK,020,ALASKA,ANCHORAGE MUNIC,20161129,20170101,0345000,2016
99999,00000,NON-METRO,GSE,H,0207000,0636150,0814500,0984525,1223475,AK,050,ALASKA,BETHEL CENSUS A,20161129,20170101,0208000,2015
99999,00000,NON-METRO,GSE,H,0229000,0636150,0814500,0984525,1223475,AK,060,ALASKA,BRISTOL BAY BOR,20161129,20170101,0273000,2015
99999,00000,NON-METRO,GSE,H,0219000,0636150,0814500,0984525,1223475,AK,068,ALASKA,DENALI BOROUGH,20161129,20170101,0259000,2013
99999,00000,NON-METRO,GSE,H,0222000,0636150,0814500,0984525,1223475,AK,070,ALASKA,DILLINGHAM CENS,20161129,20170101,0222000,2016
21820,00000,"FAIRBANKS, AK",GSE,H,0231000,0636150,0814500,0984525,1223475,AK,090,ALASKA,FAIRBANKS NORTH,20161129,20170101,0239000,2013
99999,00000,NON-METRO,GSE,H,0169000,0636150,0814500,0984525,1223475,AK,100,ALASKA,HAINES BOROUGH,20161129,20170101,0247000,2012
99999,00000,NON-METRO,GSE,H,0245000,0636150,0814500,0984525,1223475,AK,105,ALASKA,HOONAH-ANGOON C,20161129,20170101,0245000,2016
27940,00000,"JUNEAU, AK",GSE,H,0370000,0636150,0814500,0984525,1223475,AK,110,ALASKA,JUNEAU CITY AND,20161129,20170101,0370000,2016
99999,00000,NON-METRO,GSE,H,0219000,0636150,0814500,0984525,1223475,AK,122,ALASKA,KENAI PENINSULA,20161129,20170101,0219000,2016
28540,00000,"KETCHIKAN, AK",GSE,H,0283000,0636150,0814500,0984525,1223475,AK,130,ALASKA,KETCHIKAN GATEW,20161129,20170101,0283000,2016
99999,00000,NON-METRO,GSE,H,0320000,0636150,0814500,0984525,1223475,AK,150,ALASKA,KODIAK ISLAND B,20161129,20170101,0332000,2013
99999,00000,NON-METRO,GSE,H,0134000,0636150,0814500,0984525,1223475,AK,158,ALASKA,KUSILVAK CENSUS,20161121,20170101,0161000,2013
99999,00000,NON-METRO,GSE,H,0164000,0636150,0814500,0984525,1223475,AK,164,ALASKA,LAKE AND PENINS,20161129,20170101,0164000,2016
11260,00000,"ANCHORAGE, AK",GSE,H,0345000,0636150,0814500,0984525,1223475,AK,170,ALASKA,MATANUSKA-SUSIT,20161129,20170101,0345000,2016
99999,00000,NON-METRO,GSE,H,0307000,0636150,0814500,0984525,1223475,AK,180,ALASKA,NOME CENSUS ARE,20161129,20170101,0307000,2016
99999,00000,NON-METRO,GSE,H,0171000,0636150,0814500,0984525,1223475,AK,185,ALASKA,NORTH SLOPE BOR,20161129,20170101,0289000,2013
99999,00000,NON-METRO,GSE,H,0204000,0636150,0814500,0984525,1223475,AK,188,ALASKA,NORTHWEST ARCTI,20161129,20170101,0204000,2016
99999,00000,NON-METRO,GSE,H,0252000,0636150,0814500,0984525,1223475,AK,195,ALASKA,PETERSBURG CENS,20161129,20170101,0289000,2013
99999,00000,NON-METRO,GSE,H,0182000,0636150,0814500,0984525,1223475,AK,198,ALASKA,PRINCE OF WALES,20161129,20170101,0225000,2013
99999,00000,NON-METRO,GSE,H,0349000,0636150,0814500,0984525,1223475,AK,220,ALASKA,SITKA CITY AND,20161129,20170101,0393000,2014
99999,00000,NON-METRO,GSE,H,0361000,0636150,0814500,0984525,1223475,AK,230,ALASKA,SKAGWAY MUNICIP,20161129,20170101,0361000,2016
99999,00000,NON-METRO,GSE,H,0228000,0636150,0814500,0984525,1223475,AK,240,ALASKA,SOUTHEAST FAIRB,20161129,20170101,0228000,2016
99999,00000,NON-METRO,GSE,H,0216000,0636150,0814500,0984525,1223475,AK,261,ALASKA,VALDEZ-CORDOVA,20161129,20170101,0255000,2013
99999,00000,NON-METRO,GSE,H,0187000,0636150,0814500,0984525,1223475,AK,275,ALASKA,WRANGELL CITY A,20161129,20170101,0289000,2013
99999,00000,NON-METRO,GSE,H,0156000,0636150,0814500,0984525,1223475,AK,282,ALASKA,YAKUTAT CITY AN,20161129,20170101,0366000,2013
99999,00000,NON-METRO,GSE,H,0113000,0636150,0814500,0984525,1223475,AK,290,ALASKA,YUKON-KOYUKUK C,20161129,20170101,0117000,2015
33860,00000,"MONTGOMERY, AL",GSE,S,0147000,0424100,0543000,0656350,0815650,AL,001,ALABAMA,AUTAUGA,20161129,20161129,0172000,2011
19300,00000,"DAPHNE-FAIRHOPE-FOLEY, AL",GSE,S,0171000,0424100,0543000,0656350,0815650,AL,003,ALABAMA,BALDWIN,20161129,20161129,0195000,2008
99999,00000,NON-METRO,GSE,S,0092000,0424100,0543000,0656350,0815650,AL,005,ALABAMA,BARBOUR,20161129,20161129,0126000,2010
13820,00000,"BIRMINGHAM-HOOVER, AL",GSE,S,0187000,0424100,0543000,0656350,0815650,AL,007,ALABAMA,BIBB,20161129,20161129,0187000,2015
13820,00000,"BIRMINGHAM-HOOVER, AL",GSE,S,0187000,0424100,0543000,0656350,0815650,AL,009,ALABAMA,BLOUNT,20161129,20161129,0187000,2015
99999,00000,NON-METRO,GSE,S,0071000,0424100,0543000,0656350,0815650,AL,011,ALABAMA,BULLOCK,20161129,20161129,0076000,2010
99999,00000,NON-METRO,GSE,S,0078000,0424100,0543000,0656350,0815650,AL,013,ALABAMA,BUTLER,20161129,20161129,0081000,2010
11500,00000,"ANNISTON-OXFORD-JACKSONVILLE, AL",GSE,S,0113000,0424100,0543000,0656350,0815650,AL,015,ALABAMA,CALHOUN,20161129,20161129,0114000,2014
46740,00000,"VALLEY, AL",GSE,S,0056000,0424100,0543000,0656350,0815650,AL,017,ALABAMA,CHAMBERS,20161129,20161129,0098000,2010
99999,00000,NON-METRO,GSE,S,0098000,0424100,0543000,0656350,0815650,AL,019,ALABAMA,CHEROKEE,20161129,20161129,0109000,2010
13820,00000,"BIRMINGHAM-HOOVER, AL",GSE,S,0187000,0424100,0543000,0656350,0815650,AL,021,ALABAMA,CHILTON,20161129,20161129,0187000,2015
99999,00000,NON-METRO,GSE,S,0061000,0424100,0543000,0656350,0815650,AL,023,ALABAMA,CHOCTAW,20161129,20161129,0084000,2010
99999,00000,NON-METRO,GSE,S,0087000,0424100,0543000,0656350,0815650,AL,025,ALABAMA,CLARKE,20161129,20161129,0113000,2010
99999,00000,NON-METRO,GSE,S,0053000,0424100,0543000,0656350,0815650,AL,027,ALABAMA,CLAY,20161129,20161129,0087000,2010
99999,00000,NON-METRO,GSE,S,0104000,0424100,0543000,0656350,0815650,AL,029,ALABAMA,CLEBURNE,20161129,20161129,0107000,2010
21460,00000,"ENTERPRISE, AL",GSE,S,0123000,0424100,0543000,0656350,0815650,AL,031,ALABAMA,COFFEE,20161129,20161129,0136000,2014
22520,00000,"FLORENCE-MUSCLE SHOALS, AL",GSE,S,0154000,0424100,0543000,0656350,0815650,AL,033,ALABAMA,COLBERT,20161129,20161129,0154000,2015
99999,00000,NON-METRO,GSE,S,0068000,0424100,0543000,0656350,0815650,AL,035,ALABAMA,CONECUH,20161129,20161129,0078000,2010
45180,00000,"TALLADEGA-SYLACAUGA, AL",GSE,S,0101000,0424100,0543000,0656350,0815650,AL,037,ALABAMA,COOSA,20161129,20161129,0147000,2012
99999,00000,NON-METRO,GSE,S,0074000,0424100,0543000,0656350,0815650,AL,039,ALABAMA,COVINGTON,20161129,20161129,0082000,2009
99999,00000,NON-METRO,GSE,S,0070000,0424100,0543000,0656350,0815650,AL,041,ALABAMA,CRENSHAW,20161129,20161129,0072000,2015
18980,00000,"CULLMAN, AL",GSE,S,0096000,0424100,0543000,0656350,0815650,AL,043,ALABAMA,CULLMAN,20161129,20161129,0114000,2008
37120,00000,"OZARK, AL",GSE,S,0069000,0424100,0543000,0656350,0815650,AL,045,ALABAMA,DALE,20161129,20161129,0118000,2013
42820,00000,"SELMA, AL",GSE,S,0082000,0424100,0543000,0656350,0815650,AL,047,ALABAMA,DALLAS,20161129,20161129,0097000,2010
99999,00000,NON-METRO,GSE,S,0097000,0424100,0543000,0656350,0815650,AL,049,ALABAMA,DEKALB,20161129,20161129,0107000,2014
33860,00000,"MONTGOMERY, AL",GSE,S,0147000,0424100,0543000,0656350,0815650,AL,051,ALABAMA,ELMORE,20161129,20161129,0172000,2011
99999,00000,NON-METRO,GSE,S,0102000,0424100,0543000,0656350,0815650,AL,053,ALABAMA,ESCAMBIA,20161129,20161129,0102000,2016
23460,00000,"GADSDEN, AL",GSE,S,0114000,0424100,0543000,0656350,0815650,AL,055,ALABAMA,ETOWAH,20161129,20161129,0116000,2009
99999,00000,NON-METRO,GSE,S,0075000,0424100,0543000,0656350,0815650,AL,057,ALABAMA,FAYETTE,20161129,20161129,0111000,2010
99999,00000,NON-METRO,GSE,S,0061000,0424100,0543000,0656350,0815650,AL,059,ALABAMA,FRANKLIN,20161129,20161129,0092000,2010
20020,00000,"DOTHAN, AL",GSE,S,0119000,0424100,0543000,0656350,0815650,AL,061,ALABAMA,GENEVA,20161129,20161129,0182000,2009
99999,00000,NON-METRO,GSE,S,0071000,0424100,0543000,0656350,0815650,AL,063,ALABAMA,GREENE,20161129,20161129,0157000,2008
46220,00000,"TUSCALOOSA, AL",GSE,S,0287000,0424100,0543000,0656350,0815650,AL,065,ALABAMA,HALE,20161129,20161129,0288000,2015
20020,00000,"DOTHAN, AL",GSE,S,0119000,0424100,0543000,0656350,0815650,AL,067,ALABAMA,HENRY,20161129,20161129,0182000,2009
20020,00000,"DOTHAN, AL",GSE,S,0119000,0424100,0543000,0656350,0815650,AL,069,ALABAMA,HOUSTON,20161129,20161129,0182000,2009
